"x","y","twi","slope","aspect","dem","tcd","forestedge","broadleaf","water","canopy","campsites","streets","urban","railway","military","ocs","bdod","sand","silt","Year","Month","Class","airtemp_3m","prec_3m"
393004.598336005,5797476.55416018,-2.80369067192078,2.17228198051453,165.954330444336,36.2753715515137,79.7550582885742,50,0.100336521863937,50,18.2814273834229,8728.40234375,50,50,590.703491210938,20756.0234375,20.918436050415,0,232.275665283203,0,2014,2,"fire",2.82782816886902,20.7562828063965
451754.598336005,5795476.55416018,-2.53098964691162,0.377014189958572,84.7212829589844,85.1069183349609,71.8221664428711,100,0,776.208740234375,27.9641227722168,1905.91186523438,100,450,1054.44067382812,5700.876953125,46.5204620361328,121.01097869873,721.052124023438,197.963790893555,2014,3,"fire",4.38880729675293,22.9947662353516
373104.598336005,5890176.55416018,-2.06595730781555,0.409341633319855,274.812347412109,49.7422790527344,80.3324508666992,50,0.944866955280304,1360.14709472656,17.7347755432129,7596.0517578125,50,50,487.430725097656,5913.54345703125,4.06755399703979,0,149.323944091797,0,2014,3,"fire",4.27362537384033,19.5545825958252
332804.598336005,5886926.55416018,-2.06595730781555,0.409341633319855,274.812347412109,49.7422790527344,80.3324508666992,50,0.944866955280304,1360.14709472656,17.7347755432129,7596.0517578125,50,50,487.430725097656,5913.54345703125,4.06755399703979,0,149.323944091797,0,2014,3,"fire",4.27362537384033,19.5545825958252
335604.598336005,5784726.55416018,-3.47438216209412,1.05014395713806,209.080123901367,51.5670318603516,83.1189422607422,150,0,1903.94323730469,21.8199214935303,7747.25732421875,200,250,323.657073974609,5303.30078125,36.322452545166,119,768.141174316406,120.305809020996,2014,3,"fire",4.28701257705688,19.3040466308594
462254.598336005,5719176.55416018,-1.62334656715393,0.450772941112518,127.932022094727,50.151294708252,73.0324249267578,50,0,2818.244140625,21.8829345703125,2261.08374023438,180.277557373047,269.258239746094,68.1961288452148,9294.21875,46.4218406677246,122.441688537598,746.700805664062,115.800872802734,2014,3,"fire",4.16981840133667,22.0811901092529
471454.598336005,5752626.55416018,-2.90004324913025,0.655624628067017,144.059127807617,40.2482528686523,77.2039794921875,150,0,4207.43408203125,28.0070266723633,4856.181640625,70.7106781005859,150,1034.68151855469,1308.62524414062,34.8385620117188,92.0383911132812,486.7900390625,127.139350891113,2014,3,"fire",4.00106525421143,21.1120986938477
432904.598336005,5705376.55416018,-5.18742179870605,6.63885641098022,241.872314453125,96.6303939819336,88.027214050293,150,0.672867119312286,905.53857421875,27.2726631164551,1450.86181640625,111.803398132324,158.113891601562,682.445495605469,13553.228515625,44.7954292297363,123.029922485352,635.082153320312,227.102188110352,2014,3,"fire",3.70139956474304,23.7122097015381
464704.598336005,5774576.55416018,-3.23524785041809,0.484200417995453,85.3237915039062,45.295051574707,80.1235198974609,141.421356201172,0,7340.98046875,23.7733039855957,9299.7314453125,50,141.421356201172,8631.890625,13840.25,54.9330596923828,115.963119506836,738.367919921875,157.811279296875,2014,3,"fire",4.58049011230469,18.7344455718994
397854.598336005,5845226.55416018,4.31053733825684,1.78718066215515,202.157958984375,61.080696105957,88.8678817749023,514.781494140625,0,1315.29467773438,23.5982494354248,2920.61645507812,100,583.095153808594,3925.6171875,13081.4755859375,69.77392578125,117.206680297852,691.221862792969,182.859390258789,2014,3,"fire",3.9673445224762,20.7981300354004
